year,hits,date,Other Notes,num2get30
2009,1830,2019-03-31,NA,94
2010,2030,2019-03-31,NA,80
2011,2180,2019-03-31,NA,61
2012,2610,2019-03-27,Hit count from 5/17/2019,NA
2013,2800,2019-03-28,Hit count from 5/17/2019,NA
2014,3000,2019-03-28,Hit count from 5/17/2019,NA
2015,2960,2019-04-04,NA,57
2016,3040,2019-04-04,NA,49
2017,2870,2019-04-04,NA,55
2018,3170,2019-04-04,NA,51
